Rank,Team,GM,W-L,Fouls
1,Notre Dame (ACC) ,31,18-13 ,404
2,Virginia (ACC) ,30,28-2 ,418
3,Dartmouth (Ivy League) ,27,7-20 ,421
4,Western Ill. (Summit League) ,28,12-16 ,433
5,Davidson (Atlantic 10) ,29,18-11 ,442
6,Western Ky. (C-USA) ,31,22-9 ,453
6,George Washington (Atlantic 10) ,31,14-17 ,453
8,UCF (AAC) ,30,18-12 ,455
9,Loyola Chicago (MVC) ,33,28-5 ,456
10,Creighton (Big East) ,31,21-10 ,460
11,Presbyterian (Big South) ,32,11-21 ,462
12,Saint Joseph's (Atlantic 10) ,30,15-15 ,465
12,UAB (C-USA) ,31,19-12 ,465
14,Fordham (Atlantic 10) ,30,9-21 ,471
15,Old Dominion (C-USA) ,30,24-6 ,476
16,Clemson (ACC) ,30,22-8 ,477
17,Kansas (Big 12) ,31,24-7 ,478
18,Southern Miss. (C-USA) ,31,14-17 ,479
18,La.-Monroe (Sun Belt) ,29,15-14 ,479
18,Tulsa (AAC) ,30,19-11 ,479
21,Virginia Tech (ACC) ,31,21-10 ,481
22,UNI (MVC) ,32,16-16 ,482
23,Saint Francis (PA) (NEC) ,30,18-12 ,483
24,Richmond (Atlantic 10) ,30,11-19 ,484
24,Utah (Pac-12) ,29,19-10 ,484
26,Miami (FL) (ACC) ,30,22-8 ,486
27,Cornell (Ivy League) ,27,12-15 ,487
28,North Carolina (ACC) ,31,22-9 ,488
29,San Diego St. (MWC) ,29,19-10 ,489
30,Duke (ACC) ,31,25-6 ,490
30,McNeese (Southland) ,28,11-17 ,490
32,Georgia (SEC) ,30,16-14 ,491
32,Dayton (Atlantic 10) ,30,14-16 ,491
32,Utah Valley (WAC) ,30,21-9 ,491
35,Mt. St. Mary's (NEC) ,32,18-14 ,492
36,Elon (CAA) ,32,14-18 ,494
37,Minnesota (Big Ten) ,32,15-17 ,495
38,Drake (MVC) ,32,16-16 ,497
38,Cincinnati (AAC) ,31,27-4 ,497
38,Iowa St. (Big 12) ,30,13-17 ,497
38,Villanova (Big East) ,31,27-4 ,497
42,Omaha (Summit League) ,31,9-22 ,498
43,Ohio (MAC) ,31,14-17 ,500
43,Cal St. Fullerton (Big West) ,28,17-11 ,500
43,UC Santa Barbara (Big West) ,30,22-8 ,500
46,Texas (Big 12) ,31,18-13 ,501
47,Vermont (America East) ,33,27-6 ,502
48,Southern California (Pac-12) ,31,21-10 ,504
48,Columbia (Ivy League) ,27,8-19 ,504
48,Princeton (Ivy League) ,29,13-16 ,504
48,Eastern Mich. (MAC) ,31,20-11 ,504
52,North Florida (ASUN) ,33,14-19 ,505
52,Colgate (Patriot) ,31,19-12 ,505
52,East Carolina (AAC) ,29,10-19 ,505
55,Alabama A&M (SWAC) ,31,3-28 ,506
55,SMU (AAC) ,31,16-15 ,506
57,George Mason (Atlantic 10) ,31,15-16 ,507
58,Georgetown (Big East) ,29,15-14 ,508
58,Chattanooga (SoCon) ,33,10-23 ,508
60,Eastern Ill. (OVC) ,31,12-19 ,509
60,Rice (C-USA) ,31,7-24 ,509
62,Toledo (MAC) ,31,21-10 ,510
63,Temple (AAC) ,30,16-14 ,512
64,Maryland (Big Ten) ,32,19-13 ,513
64,Washington St. (Pac-12) ,30,12-18 ,513
66,Saint Mary's (CA) (WCC) ,33,28-5 ,514
67,Lafayette (Patriot) ,31,10-21 ,515
67,Texas St. (Sun Belt) ,31,14-17 ,515
69,Texas A&M (SEC) ,31,20-11 ,516
70,Central Mich. (MAC) ,32,19-13 ,517
71,Charleston So. (Big South) ,31,15-16 ,518
71,Louisville (ACC) ,31,19-12 ,518
71,Oklahoma (Big 12) ,30,18-12 ,518
74,Mississippi St. (SEC) ,31,21-10 ,519
75,Wichita St. (AAC) ,30,24-6 ,520
75,Harvard (Ivy League) ,29,17-12 ,520
75,Syracuse (ACC) ,32,20-12 ,520
78,Memphis (AAC) ,31,19-12 ,521
78,Boston College (ACC) ,32,18-14 ,521
78,Incarnate Word (Southland) ,28,7-21 ,521
81,Binghamton (America East) ,31,11-20 ,522
82,VCU (Atlantic 10) ,31,17-14 ,523
82,TCU (Big 12) ,31,21-10 ,523
84,Penn (Ivy League) ,30,22-8 ,524
84,Xavier (Big East) ,31,27-4 ,524
84,Charlotte (C-USA) ,29,6-23 ,524
84,South Fla. (AAC) ,31,10-21 ,524
88,Fort Wayne (Summit League) ,32,18-14 ,525
88,Idaho St. (Big Sky) ,30,14-16 ,525
90,Ball St. (MAC) ,31,19-12 ,526
91,Southeastern La. (Southland) ,31,21-10 ,527
91,Samford (SoCon) ,32,10-22 ,527
93,Purdue (Big Ten) ,34,28-6 ,528
93,Albany (NY) (America East) ,32,22-10 ,528
95,Idaho (Big Sky) ,30,22-8 ,529
95,Yale (Ivy League) ,30,16-14 ,529
97,William & Mary (CAA) ,31,19-12 ,530
97,La Salle (Atlantic 10) ,31,13-18 ,530
97,New Mexico St. (WAC) ,30,25-5 ,530
100,Belmont (OVC) ,33,24-9 ,531
100,Pittsburgh (ACC) ,31,8-23 ,531
100,Furman (SoCon) ,33,23-10 ,531
100,Florida (SEC) ,31,20-11 ,531
100,Boston U. (Patriot) ,31,15-16 ,531
105,Georgia Tech (ACC) ,32,13-19 ,533
106,Air Force (MWC) ,30,12-18 ,534
106,Weber St. (Big Sky) ,30,20-10 ,534
106,Louisiana Tech (C-USA) ,31,16-15 ,534
106,CSUN (Big West) ,30,6-24 ,534
110,Campbell (Big South) ,31,16-15 ,535
110,UCLA (Pac-12) ,30,20-10 ,535
112,Troy (Sun Belt) ,31,15-16 ,536
112,Murray St. (OVC) ,31,26-5 ,536
112,Jacksonville (ASUN) ,33,15-18 ,536
112,Boise St. (MWC) ,30,23-7 ,536
112,DePaul (Big East) ,30,11-19 ,536
117,Santa Clara (WCC) ,31,11-20 ,537
117,Holy Cross (Patriot) ,31,12-19 ,537
119,Miami (OH) (MAC) ,32,16-16 ,538
119,UMass Lowell (America East) ,30,12-18 ,538
121,LSU (SEC) ,30,17-13 ,539
121,Tulane (AAC) ,30,14-16 ,539
121,Marshall (C-USA) ,31,21-10 ,539
124,Winthrop (Big South) ,31,19-12 ,540
124,Oakland (Horizon) ,33,19-14 ,540
124,Col. of Charleston (CAA) ,33,26-7 ,540
124,Fla. Atlantic (C-USA) ,30,12-18 ,540
124,Kennesaw St. (ASUN) ,30,10-20 ,540
124,VMI (SoCon) ,30,9-21 ,540
130,Mercer (SoCon) ,32,18-14 ,541
130,Wright St. (Horizon) ,34,25-9 ,541
132,Eastern Ky. (OVC) ,31,11-20 ,542
132,UNLV (MWC) ,31,19-12 ,542
134,Wisconsin (Big Ten) ,33,15-18 ,543
134,New Orleans (Southland) ,29,14-15 ,543
134,UMBC (America East) ,33,23-10 ,543
137,Milwaukee (Horizon) ,33,16-17 ,545
138,Michigan (Big Ten) ,35,28-7 ,546
139,UMES (MEAC) ,32,7-25 ,547
139,High Point (Big South) ,30,14-16 ,547
139,South Dakota St. (Summit League) ,34,28-6 ,547
139,Nevada (MWC) ,32,26-6 ,547
143,Marist (MAAC) ,31,6-25 ,548
143,Nebraska (Big Ten) ,32,22-10 ,548
143,Missouri (SEC) ,31,20-11 ,548
146,Central Conn. St. (NEC) ,32,14-18 ,549
146,Massachusetts (Atlantic 10) ,31,12-19 ,549
148,Cal Poly (Big West) ,30,9-21 ,550
149,American (Patriot) ,30,6-24 ,551
149,Iowa (Big Ten) ,33,14-19 ,551
149,Florida St. (ACC) ,30,20-10 ,551
152,Arizona (Pac-12) ,31,24-7 ,552
152,Providence (Big East) ,31,19-12 ,552
154,Navy (Patriot) ,32,20-12 ,553
154,Lehigh (Patriot) ,30,16-14 ,553
154,Seton Hall (Big East) ,31,21-10 ,553
157,Baylor (Big 12) ,31,18-13 ,554
157,San Jose St. (MWC) ,29,4-25 ,554
159,Southeast Mo. St. (OVC) ,31,14-17 ,555
160,New Hampshire (America East) ,31,10-21 ,556
160,Delaware (CAA) ,33,14-19 ,556
160,North Dakota St. (Summit League) ,32,15-17 ,556
163,Radford (Big South) ,34,22-12 ,557
164,Ohio St. (Big Ten) ,32,24-8 ,558
164,NJIT (ASUN) ,30,14-16 ,558
166,Georgia St. (Sun Belt) ,31,21-10 ,559
166,Rhode Island (Atlantic 10) ,29,23-6 ,559
168,Delaware St. (MEAC) ,32,4-28 ,560
168,Western Mich. (MAC) ,32,17-15 ,560
170,Saint Louis (Atlantic 10) ,31,16-15 ,561
170,Utah St. (MWC) ,31,15-16 ,561
172,Fairleigh Dickinson (NEC) ,31,13-18 ,562
172,Denver (Summit League) ,30,15-15 ,562
172,Indiana (Big Ten) ,31,16-15 ,562
175,Stanford (Pac-12) ,31,17-14 ,563
175,Texas Southern (SWAC) ,32,13-19 ,563
175,IUPUI (Horizon) ,30,11-19 ,563
175,NC State (ACC) ,31,21-10 ,563
175,Western Caro. (SoCon) ,32,13-19 ,563
180,Tennessee St. (OVC) ,30,15-15 ,564
180,UT Arlington (Sun Belt) ,31,19-12 ,564
182,UTEP (C-USA) ,30,11-19 ,565
182,FIU (C-USA) ,31,14-17 ,565
182,Sacramento St. (Big Sky) ,31,7-24 ,565
182,Texas Tech (Big 12) ,31,23-8 ,565
186,Quinnipiac (MAAC) ,33,12-21 ,566
186,Oral Roberts (Summit League) ,32,11-21 ,566
188,Northern Ky. (Horizon) ,31,22-9 ,567
188,Hawaii (Big West) ,29,17-12 ,567
188,Brown (Ivy League) ,27,11-16 ,567
191,USC Upstate (ASUN) ,32,7-25 ,568
191,UT Martin (OVC) ,31,10-21 ,568
191,Evansville (MVC) ,32,17-15 ,568
191,Gardner-Webb (Big South) ,32,14-18 ,568
191,N.C. A&T (MEAC) ,32,19-13 ,568
196,Wofford (SoCon) ,33,21-12 ,569
196,Bowling Green (MAC) ,32,16-16 ,569
196,Arizona St. (Pac-12) ,30,20-10 ,569
199,UConn (AAC) ,31,14-17 ,570
199,Niagara (MAAC) ,32,19-13 ,570
201,Sacred Heart (NEC) ,31,10-21 ,571
201,Iona (MAAC) ,33,20-13 ,571
201,Butler (Big East) ,31,19-12 ,571
204,BYU (WCC) ,34,24-10 ,572
204,South Dakota (Summit League) ,34,26-8 ,572
206,Long Beach St. (Big West) ,32,15-17 ,573
206,Marquette (Big East) ,30,18-12 ,573
208,Northwestern St. (Southland) ,29,4-25 ,574
208,Washington (Pac-12) ,31,20-11 ,574
208,Kansas St. (Big 12) ,31,21-10 ,574
208,Colorado (Pac-12) ,30,16-14 ,574
212,Missouri St. (MVC) ,33,18-15 ,575
212,Northeastern (CAA) ,33,23-10 ,575
212,Liberty (Big South) ,34,20-14 ,575
212,St. John's (NY) (Big East) ,31,15-16 ,575
212,Jacksonville St. (OVC) ,33,21-12 ,575
212,Pepperdine (WCC) ,32,6-26 ,575
218,Longwood (Big South) ,33,7-26 ,576
218,Arkansas St. (Sun Belt) ,31,11-20 ,576
220,Hofstra (CAA) ,31,19-12 ,577
220,Portland (WCC) ,32,10-22 ,577
222,N.C. Central (MEAC) ,31,16-15 ,580
222,Duquesne (Atlantic 10) ,31,16-15 ,580
222,Gonzaga (WCC) ,34,30-4 ,580
222,CSU Bakersfield (WAC) ,29,12-17 ,580
226,Pacific (WCC) ,32,14-18 ,581
226,A&M-Corpus Christi (Southland) ,28,11-17 ,581
228,UC Davis (Big West) ,30,21-9 ,582
229,Ole Miss (SEC) ,31,12-19 ,583
229,Hartford (America East) ,32,19-13 ,583
229,Rutgers (Big Ten) ,34,15-19 ,583
232,Drexel (CAA) ,33,13-20 ,584
232,Morgan St. (MEAC) ,30,12-18 ,584
234,The Citadel (SoCon) ,32,11-21 ,586
234,Stetson (ASUN) ,32,12-20 ,586
236,Alabama (SEC) ,31,17-14 ,587
236,UNCW (CAA) ,32,11-21 ,587
238,Southern Ill. (MVC) ,33,20-13 ,588
238,Tennessee (SEC) ,30,23-7 ,588
238,Coastal Caro. (Sun Belt) ,31,14-17 ,588
238,Little Rock (Sun Belt) ,31,7-24 ,588
238,North Dakota (Big Sky) ,31,12-19 ,588
243,Kentucky (SEC) ,31,21-10 ,589
244,Louisiana (Sun Belt) ,31,26-5 ,590
245,Eastern Wash. (Big Sky) ,31,18-13 ,592
245,Appalachian St. (Sun Belt) ,31,14-17 ,592
247,Army West Point (Patriot) ,30,13-17 ,593
247,South Ala. (Sun Belt) ,31,14-17 ,593
249,Cleveland St. (Horizon) ,35,12-23 ,595
249,Northern Ill. (MAC) ,32,13-19 ,595
251,Michigan St. (Big Ten) ,33,29-4 ,596
252,North Texas (C-USA) ,31,15-16 ,597
252,UC Riverside (Big West) ,30,9-21 ,597
252,Savannah St. (MEAC) ,31,15-16 ,597
255,Morehead St. (OVC) ,29,8-21 ,598
255,Middle Tenn. (C-USA) ,30,24-6 ,598
257,Florida A&M (MEAC) ,33,9-24 ,599
257,Penn St. (Big Ten) ,34,21-13 ,599
259,Bryant (NEC) ,31,3-28 ,601
259,Ga. Southern (Sun Belt) ,31,20-11 ,601
261,Saint Peter's (MAAC) ,32,14-18 ,602
262,Canisius (MAAC) ,32,21-11 ,603
262,Hampton (MEAC) ,31,17-14 ,603
264,Wake Forest (ACC) ,31,11-20 ,604
265,Sam Houston St. (Southland) ,31,18-13 ,605
265,Southern U. (SWAC) ,32,15-17 ,605
265,Fresno St. (MWC) ,31,21-10 ,605
265,Northwestern (Big Ten) ,32,15-17 ,605
265,Oklahoma St. (Big 12) ,31,18-13 ,605
270,Grand Canyon (WAC) ,30,20-10 ,606
270,St. Bonaventure (Atlantic 10) ,30,24-6 ,606
272,Kent St. (MAC) ,32,16-16 ,607
272,Houston Baptist (Southland) ,31,6-25 ,607
274,Loyola Marymount (WCC) ,31,11-20 ,608
274,Colorado St. (MWC) ,31,11-20 ,608
276,Ill.-Chicago (Horizon) ,32,17-15 ,610
276,Oregon St. (Pac-12) ,30,15-15 ,610
276,Northern Colo. (Big Sky) ,32,21-11 ,610
276,UNC Asheville (Big South) ,33,21-12 ,610
280,Auburn (SEC) ,31,25-6 ,611
280,South Carolina St. (MEAC) ,32,10-22 ,611
282,Lamar University (Southland) ,31,19-12 ,612
283,Alcorn (SWAC) ,32,11-21 ,613
284,Rider (MAAC) ,31,22-9 ,614
284,Loyola Maryland (Patriot) ,31,9-22 ,614
284,Indiana St. (MVC) ,31,13-18 ,614
287,ETSU (SoCon) ,34,25-9 ,615
288,Bucknell (Patriot) ,33,24-9 ,616
289,Manhattan (MAAC) ,31,14-17 ,617
290,Vanderbilt (SEC) ,31,12-19 ,618
290,Akron (MAC) ,31,14-17 ,618
292,Oregon (Pac-12) ,31,20-11 ,619
293,Wyoming (MWC) ,31,19-12 ,621
294,South Carolina (SEC) ,31,16-15 ,622
295,FGCU (ASUN) ,34,23-11 ,623
296,Seattle U (WAC) ,31,19-12 ,624
296,Ark.-Pine Bluff (SWAC) ,32,13-20 ,624
296,Maine (America East) ,32,6-26 ,624
299,Bradley (MVC) ,33,20-13 ,627
300,UNCG (SoCon) ,34,27-7 ,628
301,UTSA (C-USA) ,31,18-13 ,629
301,Central Ark. (Southland) ,31,16-15 ,629
301,California (Pac-12) ,31,8-23 ,629
304,Houston (AAC) ,30,24-6 ,630
305,Jackson St. (SWAC) ,31,12-20 ,633
305,Towson (CAA) ,32,18-14 ,633
307,Northern Ariz. (Big Sky) ,32,5-27 ,634
308,Green Bay (Horizon) ,33,13-20 ,635
308,Arkansas (SEC) ,31,21-10 ,635
310,Lipscomb (ASUN) ,32,23-9 ,639
311,Austin Peay (OVC) ,32,18-14 ,640
312,New Mexico (MWC) ,31,17-14 ,641
312,Siena (MAAC) ,32,8-24 ,641
314,San Francisco (WCC) ,33,18-15 ,643
315,Montana St. (Big Sky) ,32,13-19 ,645
315,SIUE (OVC) ,30,9-21 ,645
317,Montana (Big Sky) ,30,23-7 ,646
318,Stony Brook (America East) ,32,13-19 ,647
319,Alabama St. (SWAC) ,31,8-23 ,648
320,San Diego (WCC) ,31,18-13 ,649
320,Detroit Mercy (Horizon) ,32,8-24 ,649
320,Bethune-Cookman (MEAC) ,31,18-13 ,649
323,UMKC (WAC) ,31,10-21 ,650
323,Abilene Christian (Southland) ,31,16-15 ,650
325,Coppin St. (MEAC) ,32,5-27 ,651
325,Tennessee Tech (OVC) ,33,19-14 ,651
327,Mississippi Val. (SWAC) ,32,4-28 ,658
328,Southern Utah (Big Sky) ,30,12-18 ,660
329,Fairfield (MAAC) ,33,17-16 ,663
329,Robert Morris (NEC) ,33,16-17 ,663
331,West Virginia (Big 12) ,31,22-9 ,665
331,UC Irvine (Big West) ,32,16-16 ,665
333,Buffalo (MAC) ,31,23-8 ,666
334,LIU Brooklyn (NEC) ,34,18-16 ,668
334,St. Francis Brooklyn (NEC) ,31,13-18 ,668
336,Norfolk St. (MEAC) ,32,14-18 ,670
336,James Madison (CAA) ,32,10-22 ,670
338,Youngstown St. (Horizon) ,32,8-24 ,672
339,Monmouth (MAAC) ,31,11-20 ,675
339,Grambling (SWAC) ,31,17-14 ,675
341,Illinois St. (MVC) ,33,18-15 ,678
341,Chicago St. (WAC) ,31,3-28 ,678
343,Valparaiso (MVC) ,32,15-17 ,679
344,Howard (MEAC) ,33,10-23 ,680
344,UTRGV (WAC) ,31,15-16 ,680
346,Nicholls St. (Southland) ,31,21-10 ,683
347,SFA (Southland) ,31,25-6 ,688
348,Portland St. (Big Sky) ,31,19-12 ,692
349,Wagner (NEC) ,32,23-9 ,710
350,Illinois (Big Ten) ,32,14-18 ,721
351,Prairie View (SWAC) ,33,16-17 ,731
